1X	1500	1	1024	ASTRAL2	256.848
1X	1500	1	1024	ASTRAL3	113.85
1X	1500	1	16384	ASTRAL3	48740.722
1X	1500	1	2048	ASTRAL2	1422.33
1X	1500	1	2048	ASTRAL3	501.735
1X	1500	1	256	ASTRAL2	17.788
1X	1500	1	256	ASTRAL3	12.853
1X	1500	1	4096	ASTRAL2	7546.946
1X	1500	1	4096	ASTRAL3	2432.544
1X	1500	1	512	ASTRAL2	64.189
1X	1500	1	512	ASTRAL3	30.175
1X	1500	1	8192	ASTRAL2	40179.574
1X	1500	1	8192	ASTRAL3	10720.979
1X	1500	2	1024	ASTRAL2	283.69
1X	1500	2	1024	ASTRAL3	112.592
1X	1500	2	16384	ASTRAL3	52310.67
1X	1500	2	2048	ASTRAL2	1359.262
1X	1500	2	2048	ASTRAL3	494.51
1X	1500	2	256	ASTRAL2	15.751
1X	1500	2	256	ASTRAL3	12.461
1X	1500	2	4096	ASTRAL2	7785.919
1X	1500	2	4096	ASTRAL3	2357.341
1X	1500	2	512	ASTRAL2	55.019
1X	1500	2	512	ASTRAL3	30.249
1X	1500	2	8192	ASTRAL2	38547.535
1X	1500	2	8192	ASTRAL3	11986.464
1X	1500	3	1024	ASTRAL2	267.13
1X	1500	3	1024	ASTRAL3	106.39
1X	1500	3	16384	ASTRAL3	52710.14
1X	1500	3	2048	ASTRAL2	1430.663
1X	1500	3	2048	ASTRAL3	494.271
1X	1500	3	256	ASTRAL2	17.749
1X	1500	3	256	ASTRAL3	13.139
1X	1500	3	4096	ASTRAL2	8426.498
1X	1500	3	4096	ASTRAL3	2302.736
1X	1500	3	512	ASTRAL2	61.123
1X	1500	3	512	ASTRAL3	30.263
1X	1500	3	8192	ASTRAL2	40224.181
1X	1500	3	8192	ASTRAL3	12120.321
1X	1500	4	1024	ASTRAL2	255.823
1X	1500	4	1024	ASTRAL3	134.515
1X	1500	4	16384	ASTRAL3	70401.829
1X	1500	4	2048	ASTRAL2	1467.494
1X	1500	4	2048	ASTRAL3	496.374
1X	1500	4	256	ASTRAL2	18.125
1X	1500	4	256	ASTRAL3	12.36
1X	1500	4	4096	ASTRAL2	7374.036
1X	1500	4	4096	ASTRAL3	2342.13
1X	1500	4	512	ASTRAL2	55.67
1X	1500	4	512	ASTRAL3	30.134
1X	1500	4	8192	ASTRAL2	57478.045
1X	1500	4	8192	ASTRAL3	10849.824
1X	500	1	1024	ASTRAL2	273.199
1X	500	1	1024	ASTRAL3	146.614
1X	500	1	16384	ASTRAL3	113333.454
1X	500	1	2048	ASTRAL2	1490.45
1X	500	1	2048	ASTRAL3	631.172
1X	500	1	256	ASTRAL2	19.461
1X	500	1	256	ASTRAL3	15.368
1X	500	1	4096	ASTRAL2	7870.585
1X	500	1	4096	ASTRAL3	3144.474
1X	500	1	512	ASTRAL2	65.343
1X	500	1	512	ASTRAL3	40.948
1X	500	1	8192	ASTRAL2	63362.517
1X	500	1	8192	ASTRAL3	23211.506
1X	500	2	1024	ASTRAL2	298.092
1X	500	2	1024	ASTRAL3	148.722
1X	500	2	16384	ASTRAL3	77007.82
1X	500	2	2048	ASTRAL2	2112.807
1X	500	2	2048	ASTRAL3	941.2
1X	500	2	256	ASTRAL2	20.071
1X	500	2	256	ASTRAL3	23.376
1X	500	2	4096	ASTRAL2	8051.362
1X	500	2	4096	ASTRAL3	3039.421
1X	500	2	512	ASTRAL2	67.871
1X	500	2	512	ASTRAL3	41.844
1X	500	2	8192	ASTRAL2	41872.073
1X	500	2	8192	ASTRAL3	14897.882
1X	500	3	1024	ASTRAL2	285.759
1X	500	3	1024	ASTRAL3	143.42
1X	500	3	16384	ASTRAL3	115076.243
1X	500	3	2048	ASTRAL2	1483.99
1X	500	3	2048	ASTRAL3	639.273
1X	500	3	256	ASTRAL2	19.245
1X	500	3	256	ASTRAL3	14.832
1X	500	3	4096	ASTRAL2	7715.391
1X	500	3	4096	ASTRAL3	3211.238
1X	500	3	512	ASTRAL2	65.73
1X	500	3	512	ASTRAL3	40.444
1X	500	3	8192	ASTRAL2	45141.134
1X	500	3	8192	ASTRAL3	16256.846
1X	500	4	1024	ASTRAL2	306.591
1X	500	4	1024	ASTRAL3	148.967
1X	500	4	16384	ASTRAL3	82510.143
1X	500	4	2048	ASTRAL2	1541.674
1X	500	4	2048	ASTRAL3	661.916
1X	500	4	256	ASTRAL2	20.339
1X	500	4	256	ASTRAL3	16.244
1X	500	4	4096	ASTRAL2	8041.338
1X	500	4	4096	ASTRAL3	4475.46
1X	500	4	512	ASTRAL2	72.309
1X	500	4	512	ASTRAL3	42.886
1X	500	4	8192	ASTRAL2	44084.246
1X	500	4	8192	ASTRAL3	15483.368
2X	500	1	1024	ASTRAL2	290.26
2X	500	1	1024	ASTRAL3	131.654
2X	500	1	16384	ASTRAL3	65028.303
2X	500	1	2048	ASTRAL2	1598.886
2X	500	1	2048	ASTRAL3	573.813
2X	500	1	256	ASTRAL2	17.019
2X	500	1	256	ASTRAL3	13.75
2X	500	1	4096	ASTRAL2	8339.313
2X	500	1	4096	ASTRAL3	2873.474
2X	500	1	512	ASTRAL2	59.886
2X	500	1	512	ASTRAL3	35.617
2X	500	1	8192	ASTRAL2	45219.769
2X	500	1	8192	ASTRAL3	13579.358
2X	500	2	1024	ASTRAL2	280.81
2X	500	2	1024	ASTRAL3	146.318
2X	500	2	16384	ASTRAL3	63967.56
2X	500	2	2048	ASTRAL2	1451.095
2X	500	2	2048	ASTRAL3	584.626
2X	500	2	256	ASTRAL2	18.281
2X	500	2	256	ASTRAL3	14.134
2X	500	2	4096	ASTRAL2	7833.052
2X	500	2	4096	ASTRAL3	2792.277
2X	500	2	512	ASTRAL2	59.975
2X	500	2	512	ASTRAL3	34.335
2X	500	2	8192	ASTRAL2	42211.859
2X	500	2	8192	ASTRAL3	13107.305
2X	500	3	1024	ASTRAL2	277.787
2X	500	3	1024	ASTRAL3	131.936
2X	500	3	16384	ASTRAL3	63062.548
2X	500	3	2048	ASTRAL2	1448.517
2X	500	3	2048	ASTRAL3	578.505
2X	500	3	256	ASTRAL2	18.36
2X	500	3	256	ASTRAL3	13.334
2X	500	3	4096	ASTRAL2	8465.177
2X	500	3	4096	ASTRAL3	2729.633
2X	500	3	512	ASTRAL2	59.796
2X	500	3	512	ASTRAL3	36.845
2X	500	3	8192	ASTRAL2	44401.169
2X	500	3	8192	ASTRAL3	13101.987
2X	500	4	1024	ASTRAL2	305.209
2X	500	4	1024	ASTRAL3	137.372
2X	500	4	16384	ASTRAL3	64574.126
2X	500	4	2048	ASTRAL2	1589.716
2X	500	4	2048	ASTRAL3	604.478
2X	500	4	256	ASTRAL2	17.036
2X	500	4	256	ASTRAL3	13.674
2X	500	4	4096	ASTRAL2	8177.239
2X	500	4	4096	ASTRAL3	2977.654
2X	500	4	512	ASTRAL2	67.992
2X	500	4	512	ASTRAL3	37.116
2X	500	4	8192	ASTRAL2	43203.87
2X	500	4	8192	ASTRAL3	13438.331